BILL_ID|CLASS_NAME
1002_J4857_4857024924_04122015|After-Wash
1002_J4857_4857025233_06122015|After-Wash
1002_J4857_4857025260_06122015|After-Wash
1002_J4857_4857025640_08122015|After-Wash
1002_J4857_4857025693_08122015|After-Wash
1002_J4857_4857025896_09122015|After-Wash
1002_J4857_4857025975_10122015|After-Wash
1002_J4857_4857025976_10122015|After-Wash
1002_J4857_4857026028_10122015|After-Wash
1002_J4857_4857026117_10122015|After-Wash
1002_J4857_4857026138_11122015|After-Wash
1002_J4857_4857026151_11122015|After-Wash
1002_J4857_4857026391_12122015|After-Wash
1002_J4857_4857026415_12122015|After-Wash
1002_J4857_4857026461_12122015|After-Wash
1002_J4857_4857026975_14122015|After-Wash
1002_J4857_4857027011_14122015|After-Wash
1002_J4857_4857027047_14122015|After-Wash
1002_J4857_4857027465_16122015|After-Wash
1002_J4857_4857027517_17122015|After-Wash
1002_J4857_4857027703_18122015|After-Wash
1002_J4857_4857028204_20122015|After-Wash
1002_J4857_4857028220_20122015|After-Wash
1002_J4857_4857028589_22122015|After-Wash
1002_J4857_4857028778_23122015|After-Wash
1002_J4857_4857029018_24122015|After-Wash
1002_J4857_4857029386_26122015|After-Wash
1002_J4857_4857029979_29122015|After-Wash
1002_J4857_4857029995_29122015|After-Wash
1002_J4857_4857030005_29122015|After-Wash
1002_J4857_4857030135_30122015|After-Wash
1002_J4857_4857030158_30122015|After-Wash
1002_J4857_4857030336_31122015|After-Wash
1002_J4857_4857030359_31122015|After-Wash
1002_J4857_4857026403_12122015|Apple Juice
1002_J3591_3591061187_04122015|Baby Complementary Food
1002_J3591_3591061376_05122015|Baby Complementary Food
1002_J3591_3591063609_24122015|Baby Complementary Food
1002_J4857_4857024600_02122015|Baby Complementary Food
1002_J4857_4857026064_10122015|Baby Complementary Food
1002_J4857_4857028350_21122015|Baby Complementary Food
1002_J4857_4857028429_21122015|Baby Complementary Food
1002_J4857_4857028610_22122015|Baby Complementary Food
1002_J4857_4857028778_23122015|Baby Complementary Food
1002_J4857_4857029213_25122015|Baby Complementary Food
1002_J3591_3591060817_01122015|Baby Diaper
1002_J3591_3591061415_06122015|Baby Diaper
1002_J3591_3591061487_06122015|Baby Diaper
1002_J3591_3591061627_07122015|Baby Diaper
1002_J3591_3591061634_07122015|Baby Diaper
1002_J3591_3591061838_09122015|Baby Diaper
1002_J3591_3591061839_09122015|Baby Diaper
1002_J3591_3591061894_09122015|Baby Diaper
1002_J3591_3591062400_13122015|Baby Diaper
1002_J3591_3591062579_15122015|Baby Diaper
1002_J3591_3591062590_15122015|Baby Diaper
1002_J3591_3591063442_23122015|Baby Diaper
1002_J3591_3591063913_27122015|Baby Diaper
1002_J4857_4857024894_04122015|Baby Diaper
1002_J4857_4857024990_05122015|Baby Diaper
1002_J4857_4857025548_07122015|Baby Diaper
